"Label","variable","value","minval","delta"
"Length_comp","h=0.75",1212.2,1194.32,17.88
"Length_comp","h=0.80",1212.19,1194.32,17.87
"Length_comp","h=0.85",1194.32,1194.32,0
"Length_comp","base2026",1212.18,1194.32,17.86
"Survey","h=0.75",-26.126,-26.134,0.007
"Survey","h=0.80",-26.131,-26.134,0.003
"Survey","h=0.85",-22.807,-26.134,3.327
"Survey","base2026",-26.134,-26.134,0
"TOTAL","h=0.75",1645.91,1637.28,8.63
"TOTAL","h=0.80",1645.99,1637.28,8.71
"TOTAL","h=0.85",1637.28,1637.28,0
"TOTAL","base2026",1646.18,1637.28,8.9
"InitF_seas_1_flt_26F26_TWLL_A35","h=0.75",1.366,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","h=0.80",1.352,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","h=0.85",3.957,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","base2026",1.329,NA,NA
"SR_LN(R0)","h=0.75",12.208,NA,NA
"SR_LN(R0)","h=0.80",12.173,NA,NA
"SR_LN(R0)","h=0.85",17.446,NA,NA
"SR_LN(R0)","base2026",12.12,NA,NA
"SR_regime_BLK1add_1993","h=0.75",-0.014,NA,NA
"SR_regime_BLK1add_1993","h=0.80",0.008,NA,NA
"SR_regime_BLK1add_1993","h=0.85",0.295,NA,NA
"SR_regime_BLK1add_1993","base2026",0.043,NA,NA
